metadata_nonproduct_terms,repo_key,rows,title,desc,substring_false_positive_terms,boundary_matched_terms,note
exploit,jm33-m0@emp3r0r,2,"GitHub - jm33-m0/emp3r0r: Self‑healing Gossip Mesh C2 with Assisted Peer Discovery, Modular Post‑Exploitation, and OPSEC‑Focused Transport · GitHub","Self‑healing Gossip Mesh C2 with Assisted Peer Discovery, Modular Post‑Exploitation, and OPSEC‑Focused Transport - jm33-m0/emp3r0r",exploit,,term appears only as substring inside a larger token; do not use as non-product reject signal
exploit exploits,boyan-milanov@ropium,1,GitHub - Boyan-MILANOV/ropium: ROPium is a tool that helps you building ROP exploits by finding and chaining gadgets together · GitHub,ROPium is a tool that helps you building ROP exploits by finding and chaining gadgets together  - Boyan-MILANOV/ropium,exploit,exploits,term appears only as substring inside a larger token; do not use as non-product reject signal
poc,espocrm@espocrm,28,GitHub - espocrm/espocrm: EspoCRM – Open Source CRM Application · GitHub,EspoCRM – Open Source CRM Application. Contribute to espocrm/espocrm development by creating an account on GitHub.,poc,,term appears only as substring inside a larger token; do not use as non-product reject signal
poc,pocoproject@poco,4,"GitHub - pocoproject/poco: The POCO C++ Libraries are powerful cross-platform C++ libraries for building network- and internet-based applications that run on desktop, server, mobile, IoT, and embedded systems. · GitHub","The POCO C++ Libraries are powerful cross-platform C++ libraries for building network- and internet-based applications that run on desktop, server, mobile, IoT, and embedded systems. - pocoproject/...",poc,,term appears only as substring inside a larger token; do not use as non-product reject signal
poc,archivebox@archivebox,2,"GitHub - ArchiveBox/ArchiveBox: 🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more... · GitHub","🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more... - ArchiveBox/ArchiveBox",poc,,term appears only as substring inside a larger token; do not use as non-product reject signal
