cve_id,vendor,product,repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,product_repo_relation,product_repo_relation_score,vendor_owner_relation,vendor_owner_relation_score,metadata_product_hit,github_repo_http_status,github_repo_checked_url,github_repo_title,github_repo_description,stored_decision,stored_decision_rule,stored_fitness,stored_owner_score,stored_repo_score,stored_soft_tokens,stored_hard_tokens,repo_hard_tokens,repo_soft_tokens,metadata_nonproduct_terms,url_rejected_by_rule,cpe_uri,db_source,revised_policy_action,revised_policy_reason
CVE-2024-11301,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/79dc370596d979b756f6ea0250d97a2d02385ecd,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-12114,fooplugins,foogallery,fooplugins@foogallery,https://github.com/fooplugins/foogallery/blob/master/includes/admin/class-gallery-attachment-modal.php#L242,repo_or_file,Product,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/fooplugins/foogallery,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:fooplugins:foogallery:*:*:*:*:-:wordpress:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-12119,fooplugins,foogallery,fooplugins@foogallery,https://github.com/fooplugins/foogallery/blob/master/extensions/albums/album-default.php#L26,repo_or_file,Product,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/fooplugins/foogallery,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:fooplugins:foogallery:*:*:*:*:-:wordpress:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1625,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/88f98e29f19da9d1f5de45c5b163fd5b48e0bcec,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:0.3.0:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1626,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/9eb9e526edff8bf82ae032f7a04867c8d58572bc,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1666,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/c57cd50fa0477fd2a2efe60810c0099eebd66f54,commit,Exploit;Issue Tracking;Patch;Third Party Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1738,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/a4e61122e61dc31460cfbe54d15fae389cc440ce,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1739,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/7351157a21e5acd0162b4528bcae9d65b1c95695,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1740,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/c57cd50fa0477fd2a2efe60810c0099eebd66f54,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-1741,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/d8e2e73efd53ab4e92cf47bbf4b639a9f08853d2,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
